,Player Name,FG%_Z,FT_Z,FT%_Z,3P_Z,PTS_Z,TRB_Z,AST_Z,STL_Z,BLK_Z,Total_Z
0,Precious Achiuwa,0.18463971064997486,-0.3387949371419511,0.4628558507870616,-0.031724583999276246,0.03463098092344172,0.25149928129669386,-0.35324882504316174,-0.3754787470411378,0.714893076970983,0.5492718074026282
0,Steven Adams,-0.8267182935974644,-0.8868823206693467,-0.9330730960271512,0.10447688857806381,-0.46557578066020483,-0.09509930098756403,0.18184923413923548,1.7232552658829257,0.307814468022066,-0.8899529353194404
0,Bam Adebayo,-0.033316667298059044,-1.121400677055179,-0.004531823080496655,0.10447688857806381,-0.26421360782574554,-0.45865303812450664,0.5646106619669988,0.13617091495454758,0.9607964953439373,-0.11606085254043952
0,Santi Aldama,0.2057680763686976,-0.0778218470168528,-0.01732464483851881,-0.12637074179620422,-0.09338754967231466,-0.5485722116211054,-0.20384510671744904,0.014191002392822671,0.07019231466713194,-0.7771707082337928
0,LaMarcus Aldridge,0.4003471301727084,-0.23429283012556779,0.38399721079264315,-0.35721837217047203,0.001114576067516082,-0.5482232974666313,0.16627788314119168,-0.2949380289072797,-0.5146240148937888,-0.9975597433896803
0,Nickeil Alexander-Walker,0.15766798322940553,-0.182135835755996,-0.29899094481267635,-1.1536495502443067,-0.799136275703756,-0.5316170567684203,0.009426177179037543,-0.8326553733736262,-0.17571110370582232,-3.8068019799561608
0,Grayson Allen,0.4329925185782549,0.2354963557550571,0.05437583831305104,-1.0059125494308634,-0.13246048280076894,0.007807671127238024,0.042151040753724583,0.6738882594208937,-0.42161452207877675,-0.11327587036218983
0,Jarrett Allen,-0.4016143889510413,-0.5995799089898093,-0.06350356927328785,0.10447688857806381,-0.6645389506177883,-0.05639450620349473,0.05997992905552859,-0.8326553733736262,-1.6594128789615685,-4.113242758737024
0,Jose Alvarado,0.5187749342145772,-0.02560214655486781,0.2222311710691254,0.27299154678171317,0.4941654741273843,0.45064486913995905,0.6657181657199807,2.099891174081556,-0.09098287590883092,4.607832312670597
0,Justin Anderson,-0.11142393405750162,-0.025539440462454432,0.40143378178669653,-0.05250224138948245,0.010805532582077726,0.16415180741668178,0.12836256923382353,0.31028619245759453,0.07019231466713194,0.8957665822345675
0,Kyle Anderson,0.15254605815036515,-0.15605733857121015,0.15945951549053336,-0.28334987176375026,0.07717054651775677,0.0007904005864260988,0.20712611007748088,0.7413951363194216,0.714893076970983,1.6139736337780066
0,Giannis Antetokounmpo,-0.4004502213374841,0.6017867320979118,0.32719866267282677,-0.3249051865441627,0.02942892309242362,-0.6054082042565518,-0.20542726829604874,-0.5365601833088542,0.13007674741006214,-0.9842599984698774
0,Thanasis Antetokounmpo,-0.7247921428470337,-0.02560214655486781,1.2104906759107708,0.10447688857806381,-0.22758504094546972,-0.6713549523596528,-0.31533351113579333,-0.5235263420735238,0.2313675052430948,-0.941859066184412
0,Carmelo Anthony,0.4200549406487934,0.05288416936914331,0.326990958417413,-0.8697110768535229,0.004403973312621878,-0.011370269187559845,-0.08716625196642358,-0.22743115200875194,-0.5910709776727601,-0.9824156859410468
0,Cole Anthony,-0.3421482688103203,-1.5131424896586863,-0.5897159011429921,-1.825414783976904,-1.4452760175104846,-0.32663024138303354,-0.48933872967459013,-0.8326553733736262,0.2313675052430948,-7.132954300287541
0,OG Anunoby,-0.11251824805060619,-0.5996426150822225,-0.4162172446288721,-0.6804187612596677,-0.38587594252334867,0.23197242682742236,-0.11989111554111043,-0.40154642951179964,0.3925426958190573,-2.0915952339511477
0,Trevor Ariza,-0.5257371145298799,0.07877454827668884,0.2581731768675236,0.0005886016270330308,0.06916965199705016,0.04873525137342053,0.14100100720294625,0.9830172907209963,0.07019231466713194,1.1239147282029107
0,D.J. Augustin,-0.34951078558515714,0.4965321519725687,-0.14173822854370488,0.18988091722088857,0.20438940948788792,0.3687897086475942,-0.3606968126796032,-0.06634971574103554,0.15492054246412357,0.49621718724356223
0,Deni Avdija,0.3457358657110732,-0.1038376381092253,0.37809144620531365,0.02136625901723918,-0.03462359644452981,-0.6013115474867996,0.5668681992707592,0.2972523512222638,-1.1593247771976396,-0.28978343781154536
0,Joel Ayayi,0.2115828645400375,0.10485304546147467,0.6135985023782762,0.10447688857806381,0.06712511956168488,0.15678562272139573,0.03696059042104327,0.24277931555906673,0.15492054246412357,1.6930824916851663
0,Deandre Ayton,0.4302410010832405,0.36613966604863957,0.9036070264154323,0.19912304637499156,-0.23358676640211318,-1.4748252737382557,-0.2670372965630628,-0.07938355697636612,-0.18399236872384284,-0.33971452248133666
0,Udoka Azubuike,-0.21265370165692943,0.15707274592345954,0.2581731768675236,0.10447688857806381,0.1314456010619982,0.3182731582440127,0.07487590432841162,0.3908269105914528,0.307814468022066,1.530305151960059
0,Marvin Bagley III,0.4414593184305298,0.2616375590322563,0.28720141791000703,-0.05250224138948245,0.7574037622139786,0.5693309531087549,-0.06188937602817812,-0.06634971574103554,1.045524723140929,3.18181640067776
0,LaMelo Ball,-0.21720434532275718,-0.286387118402726,0.3107636126176191,-0.4911264456658122,-0.43170490536276884,-0.20127580102789966,-0.5599789071566459,-1.9080900623063197,-0.014535913129859662,-3.7995398857571705
0,Lonzo Ball,0.49355784784142975,0.1571354520158731,-0.15091144820361577,0.5176681044740841,0.06770218859525268,-0.11719785507342217,-0.1979792806596068,-0.48208714764565697,-1.2440530049946317,-0.9561651436502937
